numero,publicacao,assunto,classificacao,permanente,situacao,validade,servidores,alteracao,link
CPV.0033,03/25/2022,"Trata da Retificação da Portaria nº 32/2022- DRG/CPV/IFSP, de 25 de março de 2022.",R,,Alterada pela 17/2023,,,Retifica CPV.32/2022,"https://drive.google.com/file/d/1Ai04jN7TgKASaWFGGXosTtZFx72w6LpV/view?usp=sharing"
CPV.0034,03/31/2022,Designação dos fiscais do Contrato 04.712/2019 (Digital Jundiai Ltda.) referente aos Serviços de Outsourcing de Impressão para o IFSP-Câmpus Capivari,F,P,vigente,"até o vencimento do contrato e de sua garantia, quando houver.",Washington Ernando Pereira Benício ;Larissa Carvalho Alves,Revoga CPV.0029/2019,"https://drive.google.com/file/d/18caV1wcM5RQjYWWw7o_HQVNBIx7GCy0Q/view?usp=sharing"
CPV.0035,03/31/2022,Trata da designação dos membros da Comissão de comunicação  do IFSP-Câmpus Capivari.,C,P,revogada pela portaria nº 037/2022,sem mandato expresso,Gustavo Baptistella Leite da Silva; Alexandre Camargo Maia; Eduardo Camargo Maia; Renan Giollo Francisco e Rúbia Dias Adão,Revoga CPV.0142/2021,"https://drive.google.com/file/d/1-xxB0oeR_SWBERMWvPknVB6363NWZjOm/view?usp=sharing"
CPV.0036,04/06/2022,Trata da designação dos membros da Comissão para Avaliação de Extraordinário Aproveitamento de Estudos do IFSP-Câmpus Capivari.,C,T,vigente,"Até a entrega do parecer à Coordenação do Curso.",Elizabeth Machado Baptestini Andrade; Caio Hamamura; Waldo Luis de Lucca e Gianna Andréia Ferreira Gobbi Spadote,,"https://drive.google.com/file/d/11wiJ5-yJP3fMB-FetvH5fPKIFOY3HnBf/view?usp=sharing"
CPV.0037,04/06/2022,Trata da designação dos membros da Comissão de Comunicação do IFSP-Câmpus Capivari,C,P,Alterada pela portaria 15/2023,sem mandato expresso,Rúbia Dias Adão; Alexandre Camargo Maia; Eduardo Camargo Maia e Renan Giollo Francisco,Revoga CPV.0035/2022,"https://drive.google.com/file/d/1oGuyzOUAx2q4lzpCXjAw31DAYC8rA5s6/view?usp=sharing"
CPV.0038,04/07/2022,"Trata da designação de Orientador de Estágio Curricular do Curso de Tecnologia em Processos Gerenciais na modalidade Educação a Distância (EaD) do IFSP - Câmpus Capivari.",M,,vigente,4/8/2024,Hugo Antonio Lima de Souza,,"https://drive.google.com/file/d/1pfszmEW7rS4XNjXJ9eD_61j-fyr6s4N4/view?usp=sharing"
CPV.0039,04/08/2022,Trata da designação dos membros do Núcleo Docente Estruturante - NDE do Curso de Tecnologia em Análise e Desenvolvimento de Sistemas do IFSP Capivari.,,P,Alterada pela portaria 103/2023,"até 08 de abril de 2023 para Rafael Fernando Diorio;  até 08 de abril de 2024 para Bruna Carolina Rodrigues da Cunha, Fernando César Russo Gomes e Adriana Morais da Silva; até 08 de abril de 2025 para Rolando Ruggiero e Waldo Luis de Lucca  ",Rafael Fernando Diorio; Adriana Morais da Silva; Bruna Carolina Rodrigues da Cunha; Fernando César Russo Gomes; Waldo Luis de Lucca e Rolando Ruggiero ,Revoga CPV.0077/2021,"https://drive.google.com/file/d/1rkLOSeNMgP6KAQGYXNNmnapiQwergyAG/view?usp=sharing"
CPV.0040,04/11/2022,"Trata da designação dos Fiscais do Contrato nº 01.712/2019 referente à Concessão onerosa de espaço para cantina, celebrado com a Empresa Nutrimax Refeições Coletivas Ltda e o IFSP - Câmpus Capivari.",F,P,revogada pela portaria 46/2023,Até o final do contrato ,Jaqueline Tatiane Pereira e Arlete Teresinha Esteves Brandi,Revoga CPV.0020/2020,"https://drive.google.com/file/d/1y_gHxtQiXbGBZZYfOcrfIl9QlHhx3p8y/view?usp=sharing"
CPV.0041,04/14/2022,"Trata da designação dos membros da Comissão Local da Estatuinte do IFSP - Câmpus Capivari",C,T,vigente,31/12/2022,Everton Pereira Barbosa; Fernanda Tonelli; Maria Amélia Ferracciú Pagotto e Grazielle Nayara Felício Silva,,"https://drive.google.com/file/d/12YWrUXKtGiuPAk4JRN-dnJR_D0Hc6rQv/view?usp=sharing"
CPV.0042,04/14/2022,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Informática para internet Integrado ao Ensino Médio do IFSP - Câmpus Capivari.,C,P,extinta tacitamente(deve ser revoga expressamente),até a formatura da primeira turma do novo currículo do curso a ser proposto,Everton Pereira Barbosa; Alexandre Camargo Maia; André Valente de Barros Barreto; Camila Centurion Silva; Edivaldo Serafim; Fabiana Bigaton Tonin; Francine Maria Ribeiro; Gianna Andréia Ferreira Gobbi Spadote; Irlla Karla dos Santos Diniz; Isabel Cristina das Chagas Oliveira; Karlan Ricomini Alves; Maria Amélia Ferraciú Pagotto; Maria Elisa de Castro Almeida; Pedro William Simões de Oliveira e Rolando Ruggiero.,Altera CPV.0018/2022,"https://drive.google.com/file/d/19akR9sWCfb8AuFfaPJu0EDqbyDZcSzZQ/view?usp=sharing"
CPV.0043,04/14/2022,Trata da designação dos membros do Núcleo Docente (NDE) Estruturante do Curso Superior de Tecnologia em Processos Químicos do IFSP - Câmpus Capivari.,C,P,Alterada pela portaria 131/2023,"Ademir Geraldo Cavallari Costalonga e Elizabeth Machado Baptestini Andrade se encerra em 15/04/2023; Everton Pereira Barbosa; Gislaine Vieira Damiani e Valdir Antonio Vitorino Filho se encerra em 15/04/2024; José Ricardo Turquetti; Mateus Nordi Esperança e Alexandre Santa Bárbara Azevedo se encerra em 15/04/2025.",José Ricardo Turquetti; Ademir Geraldo Cavallari Costalonga; Alexandre Santa Bárbara Azevedo; Elizabeth Machado Baptestini Andrade; Mateus Nordi Esperança; Valdir Antonio Vitorino Filho; Everton Pereira Barbosa e Gislaine Vieira Damiani,Revoga CPV.0127/2021,"https://drive.google.com/file/d/11VJYbGtjrmdA8sD-kDceoJr2MwMbSAmj/view?usp=sharing"
CPV.0044,04/14/2022,Trata da designação dos membros do Núcleo Docente Estruturante (NDE) do Curso Superior de Licenciatura em Química do IFSP - Câmpus Capivari,C,P,vigente,31/12/2024,Carlos Fernando Barboza da Silva; Ana Carla Dantas Midões; Cleidson Santiago de Oliveira; Fabiana Ocampos; João Batista de Medeiros; Paloma Epprecht e Machado de Campos Chaves; Mayumi Silva Kawamoto; Roberto Bineli Muterle e Luís Eduardo Pais dos Santos,Revoga CPV.0097/2021,"https://drive.google.com/file/d/1dJIWHRWkDZP6VooOn9t_Q06wjIybXOg0/view?usp=sharing"
CPV.0045,04/19/2022,Trata da designação dos membros do Colegiado do Curso Superior de Tecnologia em Processos Gerenciais do IFSP - Câmpus Capivari,C,P,Alterada pela portaria 117/2022,4/19/2024,Valdir Antonio Vitorino Filho; Ana Karina Cancian Baroni; Fernando Cesar Russo Gomes; Hugo Antonio Lima de Souza; Ione Arsenio da Silva; Bruna Carolina Rodrigues da Cunha; Ivonete Fernandes de Souza; Camila Centurion Silva; Maria Heloisa Saraiva Vicente; Sabrina Fleck Hisatomi e Paulo Daniel de Sousa,,"https://drive.google.com/file/d/1S3-XPPtYHi7HBHE4SX99C6sQjFDaODko/view?usp=sharing"
CPV.0046,04/25/2022,Trata  da  designação  dos  membros  da  Comissão Organizadora   do II  Seminário   de   Tecnologia   da Informação  e  Comunicação  na  Educação do  IFSP – Câmpus Capivari,C,T,revogada pela portaria nº CPV.53/2022,25/12/2022,"Alexandre Garcia Aguado, Carlos Fernando Barboza da Silva, Erica Maio Taveira Grande, Paloma Epprecht e Machado de Campos Chaves",,"https://drive.google.com/file/d/1LnCoVrubWdU-35Uwu8UYVqwLOjUnC7z2/view?usp=sharing"
CPV.0047,05/02/2022,"Trata da instituição e designação de membros do Corpo editorial da Revista Ciência em Evidência do IFSP – Câmpus Capivari",C,P,Revogada Pela Portaria 105/2022,sem mandato expresso,"Erica Maio Taveira Grande, Adria de Souza Bentes, Fabiana Bigaton Tonin",,"https://drive.google.com/file/d/1YgwVzkVFRoYSKw7bD2sVEc3Hr5wuSo5C/view?usp=sharing"
CPV.0048,05/02/2022,Trata  da  designação  dos  membros para o Centro Multidisciplinar de Pesquisa e Inovação em Efluentes e Resíduos Sólidos do  IFSP – Câmpus Capivari,C,T,retificada pela portaria 51/2022,sem mandato expresso,"André Luís de Castro Peixoto, Gislaine Vieira Damiani, Mateus Nordi Esperança",,"https://drive.google.com/file/d/168dILNXH6J3OG6GdWyN7f4tME8NDxeF8/view?usp=sharing"
CPV.0049,05/02/2022,"Trata da ins(tuição e designação de membros da Comissão organizadora local para os Jogos das Ins(tuições Federais (JIF) e os Jogos Eletrônicos das Ins(tuições Federais (eJIF) - 2022 no IFSP – Câmpus Capivari.",C,T,extinta,"até a data final definida pelo cronograma dos jogos eletrônicos das Ins(tuições federais (eJIF) 2022.","Francisco Marcio Barbosa Teixeira, Jaqueline Tatiane Pereira, Pedro William Simões de Oliveira, Valdir Antonio Vitorino Filho",,"https://drive.google.com/file/d/1aNw6VSCmjAzPHuKkrBSm20c2c8CPbyDY/view?usp=sharing"
CPV.0050,05/02/2022,Trata da Revogação das portarias de fiscalização do IFSP Câmpus Capivari,R,,revogada,,,Revoga CPV.0172/2019; CPV.0178/2019; CPV.004/2020; CPV.0024/2020; CPV.0096/2020;  CPV.205/2020; CPV.106/2021,"https://drive.google.com/file/d/1ZqewcRYnogd643GbmfF7_kDIVRuhHRMK/view?usp=sharing"
CPV.0051,05/04/2022,"Trata da Retificação da Portaria nº 48/2022- DRG/CPV/IFSP, de 02 de maio de 2022.",R,,retificação,,,Retifica CPV.48/2022,"https://drive.google.com/file/d/1TaCcHTUiBA1lM9-Mp_5H9osn9JTMG2vM/view?usp=sharing"
CPV.0052,05/04/2022,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Alimentos concomitante/subsequente do IFSP - Câmpus Capivari.,C,P,Alterada a Portaria 93/2022,até a formatura da primeira turma do curso.,Alexandre Santa Bárbara Azevedo ;Adria de souza bentes ;Camila Centurion Silva ;Carolina Marocco Corneta;Gislaine Vieira Damiani ;Grazielle Cristine Elias;Hugo Antonio Lima de Souza ;Isabel Cristina das Chagas Oliveira ;Luís Eduardo Pais dos Santos ;Mateus Nordi Esperança ;Regiane de Brito Vieira ;Silvânia Regina Mendes Moreschi,Revoga CPV.15/2022,"https://drive.google.com/file/d/1FOiGxi3vmF1ym4DXGgG2jWduNIHAMnBx/view?usp=sharing"
CPV.0053,05/04/2022,Trata  da  designação  dos  membros  da  Comissão Organizadora   do II  Seminário   de   Tecnologia   da Informação  e  Comunicação  na  Educação do  IFSP – Câmpus Capivari,C,T,extinta,25/12/2022,"Alexandre Garcia Aguado, Carlos Fernando Barboza da Silva, Erica Maio Taveira Grande, Paloma Epprecht e Machado de Campos Chaves; Erica Farabotti, Arinda de Paula Silveira, Denise Lezdkalns",Revoga CPV.46/2022,"https://drive.google.com/file/d/199EWlM2IqV-9Wk9LYNY6oWDqFH80H7Lf/view?usp=sharing"
CPV.0054,05/06/2022, Trata da designação dos membros da Comissão para Avaliação de Extraordinário Aproveitamento de Estudos (EXAPE) disciplina Informática Básica (EL1A5) de Análise e Desenvolvimento de Sistemas do IFSP – Câmpus CPV,C,T,extinta,"Até entrega do parecer à Coordenação do Curso.","Bruna C. Rodrigues da Cunha;Carlos Roberto Paviotti;Isabel Cristina das Chagas Oliveira;Rafael Wendel Pinheiro",,""
CPV.0055,05/11/2022,Trata da Instituição e designação dos membros do Colegiado do Curso de Pós-Graduação Lato sensu em Educação em Ciências e Matemática do IFSP - Câmpus Capivari,C,T,Alterada peal Portaria 91/2022,5/10/2024,"Mauro Vanderlei de Amorim,Carolina Marocco Corneta, Ione Arsenio da silva, Francisco Marcio Barbosa Teixeira, Andréia Ferreira Gobbi SpadotE, Sara Daniela Menez Goncalves Ramos, Edson Jarandia Nunes",,"https://drive.google.com/file/d/17roM7ddch_DWzFXEcvfnrwhG07iV-ar-/view?usp=sharing"
CPV.0056,05/11/2022,Trata da Instituição e designação dos membros do Colegiado do Curso de Pós-Graduação Lato sensu em Ensino de Línguas do IFSP - Câmpus Capivari,C,T,vigente,5/10/2024,"Tiago Pellim da Silva, Erica Maio Taveira Grande, Fabiana Bigaton Tonin, Fernanda Tonelli,Beatriz Simonaio Birelli Falco,Maria Heloísa Saraiva Vicente,Tiago Rebecca, Sergio dos Santos  Clemente Júnior",,"https://drive.google.com/file/d/1OZdho5alojkHrEzZiskbmEXAf0w4Yeqt/view?usp=sharing"
CPV.0057,05/12/2022,Trata da Designação dos membros do Conselho de Câmpus (CONCAM) do IFSP Câmpus Capivari para o biênio 2021-2023.,C,,Alterada Pela Portaria 103/2022,10/12/2023,"Aline Dantas Araújo, Mateus Henrique Messias, Vanessa Fonseca, Zenilton Jose da Rocha, Ademir Geraldo Cavallari Costalonga, André Valente de Barros Barreto,Carolina Marocco Corneta, Luís Eduardo Pais dos Santos, Luana Bueno Fiorani, Heloísa Victoria Toledo Clavijo Camacho, Carlos Benjamim Pazzianotto, Evelin Rosa de Jesus, Daniela Loatti, Letícia de Goes Peressim Travaiolli, Gabriel Sanches Cerezer",Revoga 231/2021,"https://drive.google.com/file/d/1OtdJT7sp8F8gpK9kJ0OsGfKhU1C6jvcU/view?usp=sharing"
CPV.0058,05/19/2022,Trata da designação dos membros da Comissão Organizadora da IX Semana de Ciência e Tecnologia do IFSP Câmpus Capivari.,C,T,Revogada pela Portaria 65/2022,31/12/2022,Alexandre Garcia Aguado; Alexandre Camargo Maia; Carlos Fernando Barboza da Silva; Erica Maio Taveira Grande; Paloma Epprecht e Machado de Campos Chaves; Sheila Pasqualotto; Vitor Brandi Junior,,"https://drive.google.com/file/d/1mLUNxp8MyPE9TFqFkKr8p7i1yeOrpd3I/view?usp=sharing"
CPV.0059,05/19/2022,Trata da designação dos membros da Comissão para Avaliação de Atividade Docente – CAAD de Linguagens do IFSP – Câmpus Capivari.,C,P,Alterada pela portaria 11/2023,5/19/2024,Fabiana Bigaton Tonin; Erica Maio Taveira Grande; Fernanda Tonelli,Revoga CPV.0107/2021,"https://drive.google.com/file/d/12SUl3jiQQ3vt_S0c5eYUfFWG2T8yaQK1/view?usp=sharing"
CPV.0060,05/19/2022,Trata da designação dos membros da Comissão para Avaliação de Atividade Docente – CAAD de Ciências Humanas e Sociais do IFSP – Câmpus Capivari.,C,P,vigente,5/19/2024,Tiago José Berg; Andre Valente de Barros Barreto; Maria Amelia Ferracciú Pagotto,Revoga CPV.0102/2020,"https://drive.google.com/file/d/1CSqtmxVWmMLjwr1l0tEm5_PVGlto_o3a/view?usp=sharing"
CPV.0061,05/19/2022,Trata da designação dos membros da Comissão para Avaliação de Atividade Docente – CAAD de Química e Educação do IFSP – Câmpus Capivari.,C,P,vigente,5/19/2024,Roberto Bineli Muterle; Adria de Sousa Bentes; Ana Carla Dantas Midões,Revoga CPV.106/2020,"https://drive.google.com/file/d/17d2mNaCsz-XQhZiVkJAMNA2DUyiw38af/view?usp=sharing"
CPV.0062,05/19/2022,Trata da designação dos membros da Comissão para Avaliação de Atividade Docente – CAAD de Gestão do IFSP – Câmpus Capivari.,C,P,vigente,5/19/2024,Hugo Antonio de Lima Souza; Ivonete Fernandes de Souza; Valdir Antonio Vitorino Filho,Revoga CPV.150/2021,"https://drive.google.com/file/d/1MUewSE1GE-dDNwxeEmL6v6sCDXbb3Wto/view?usp=sharing"
CPV.0063,05/19/2022,Trata da designação dos membros da Comissão para Avaliação de Atividade Docente – CAAD de Ciências da Natureza e Matemática do IFSP – Câmpus Capivari.,C,P,vigente,5/19/2024,Flávio Henrique Ferraresi; Cleidson Santiago de Oliveira; Marcelo Simplicio de Lyra,Revoga  CPV.101/2020,"https://drive.google.com/file/d/1QNfphNb19VktbTwTZJjGqpCSL_AXaHy9/view?usp=sharing"
CPV.0064,05/19/2022,Trata da designação dos membros da Comissão para Avaliação de Atividade Docente – CAAD de Informática do IFSP – Câmpus Capivari.,C,P,vigente,5/19/2024,Wagner Machado do Amaral; Adriana da Silva; Rafael Fernando Diório,Revoga  CPV.101/2021,"https://drive.google.com/file/d/1aCZoiJ9WQr3EwNHyHVOlJOjXRnFToQgK/view?usp=sharing"
CPV.0065,05/31/2022,Trata da designação dos membros da Comissão Organizadora da IX Semana de Ciência e Tecnologia do IFSP –Câmpus Capivari,C,T,Revogada pela Portaria 107/2022,31/12/2022,Alexandre Camargo Maia; Felipe de Paula Góis Vieira; Roberto Bineli Muterle; Sheila Pasqualotto;Vitor Brandi Junior,Revoga 58/2022,"https://drive.google.com/file/d/18_8Uwftrj46Prb3p9rAoygg2oS1aGHa9/view?usp=sharing"
CPV.0066,05/31/2022,"Trata Aprovação e designação dos membros do Projeto Institucional Desenvolvimento de software para gestão de patrimônio do IFSP Campus Capivari, do IFSP Câmpus Capivari.",P,T,Revogada pela Portaria 68/2022,31/12/2022,Edivaldo Serafim,,"https://drive.google.com/file/d/1F__2Qewrigul-j15_15TnP-jdZzAjiDa/view?usp=sharing"
CPV.0067,06/01/2022,trata Designação dos membros da Comissão de Extensão do IFSP – Câmpus Capivari.,C,P,Revogada pela Portaria 104/2022,sem mandato expresso,Camila Centurion Silva;Alexandre Santa Bárbara Azevedo ;Fernanda Ortolan ;Glaucia Sousa Alves da Cruz ;Gustavo Baptistela Leite da Silva ;Rafaela Cristina Zuin da Rocha ;Silvânia Regina Mendes Moreschi ,Revoga 124/2021,"https://drive.google.com/file/d/1Cu0oBVQI6v8gw75ykiMaQiNABhiNGI90/view?usp=sharing"
CPV.0068,06/01/2022,"Trata Aprovação e designação dos membros do Projeto Institucional Desenvolvimento de software para gestão de patrimônio do IFSP Campus Capivari, do IFSP Câmpus Capivari.",P,T,extinta,31/12/2022,Edivaldo Serafim; Rafael Wendel Pinheiro,Revoga 66/2022,"https://drive.google.com/file/d/1pGw3cJvy1OZwJsXIbZakEMBEUg4mOO86/view?usp=sharing"
CPV.0069,06/09/2022,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso Técnico em Informática Integrado ao Ensino Médio do IFSP - Câmpus Capivari.,C,P,Revogada pela Portaria 76/2022,03 anos,"Everton Pereira Barbosa ;Alexandre Camargo Maia; André Valente de Barros Barreto; Bruna Carolina Rodrigues da Cunha ;Edivaldo Serafim ;  francine Maria Ribeiro, Gianna Andréia Ferreira Gobbi Spadote ;Gustavo Baptistella Leite da Silva; Irlla Karla dos Santos Diniz ;Isabel Cristina das Chagas Oliveira ;Karlan Ricomini Alves ; Maria Amélia Ferracciú Pagotto ;Maria Elisa de Castro Almeida ; Rolando Ruggiero ",Revoga 17/2022,"https://drive.google.com/file/d/1QP1d7GmY3DL7PtfU3i5JojVtmF3torNd/view?usp=sharing"
CPV.0070,06/09/2022,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso Técnico em Informática para internet Integrado ao Ensino Médio do IFSP - Câmpus Capivari.,C,P,revogada pela portaria 74/2022,até a formatura da primeira turma do novo currículo do curso a ser proposto.,"Everton Pereira Barbosa ;Alexandre Camargo Maia; André Valente de Barros Barreto; Bruna Carolina Rodrigues da Cunha ;Edivaldo Serafim ;  francine Maria Ribeiro, Gianna Andréia Ferreira Gobbi Spadote ;Gustavo Baptistella Leite da Silva; Irlla Karla dos Santos Diniz –;Isabel Cristina das Chagas Oliveira ;Karlan Ricomini Alves ; Maria Amélia Ferracciú Pagotto ;Maria Elisa de Castro Almeida ; Rolando Ruggiero",Revoga 18/2022,"https://drive.google.com/file/d/14RxSBwTaAYvRo0NNKvt9pKNYne1wT1Ys/view?usp=sharing"
CPV.0071,06/10/2022,Trata da composição da Comissão Local de Elaboração do Plano de Desenvolvimento Institucional (PDI) 2024-2028 do IFSP-Câmpus Capivari.,C,P,revogada pela portaria 7/2023,31/12/2028,Carlos Roberto Paviotti ; Luciana Martins Gatti; Rúbia Dias Adão; Bruna Carolina Rodrigues da Cunha; Mateus nordi Esperança;  Jamil Wagner Tizziani Camacho; Jussara Conceição de Souza dos Santos; Pamella Silva Souza Pompeu;  Rosane Aparecida Alves Pedroso,,"https://drive.google.com/file/d/1M8RvfaIppbWm870w-1otZ24x9LFdaROc/view?usp=sharing"
CPV.0072,06/28/2022,Trata da designação dos membros do Colegiado do Curso de Pós-Graduação Lato Sensu em Tecnologia da  Informação e Comunicação na Educação do IFSP- Câmpus Capivari.,P,,Retificada pela portaria 80/2022,7/4/2023,Carlos Fernando Barboza da Silva; Érica Maio Taveira Grande; Ione Arsenio da Silva; Tiago Pellim da Silva; Gianna Andréia Ferreira Gobbi Spadote; Marcos Jailson Costa Silva,Revoga 56/2022,"https://drive.google.com/file/d/1l2-JCxeqLx_JUvF6TgajgwGUhKLSKpiB/view?usp=sharing"
CPV.0073,06/30/2022,Trata sobre os critérios e procedimentos a serem observados para a realização do Programa de Gestão na modalidade de teletrabalho no IFSP Câmpus Capivari.,,,vigente,,,,"https://drive.google.com/file/d/1nvEdIl4BoBOApauHewgIpLoMjynvG-Sf/view?usp=sharing"
CPV.0074,022072/001,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico (CEIC) do Curso Técnico em Informática para internet Integrado ao Ensino Médio do IFSP - Câmpus Capivari.,C,P,Alterada pela Portaria 86/2022,até a formatura da primeira turma do novo currículo do curso a ser proposto.,Everton Pereira Barbosa; Alexandre Camargo Maia; André Valente de Barros Barreto; Beatriz Simonaio Birelli Falco; Camila Centurion SIlva; Edivaldo Serafim; Francine Maria Ribeiro; Gianna Andréia Ferreira Gobbi Spadote; Gustavo Bapstistella Leite da Silva; Karlan Ricomini Alves; Luciana Lima Batista; Maria Amélia Ferracciú Pagotto; Maria Elisa de Castro Almeida; Pedro William Simões de Oliveira; Rolando Ruggiero,Revoga 70/2022,"https://drive.google.com/file/d/1hKuwh3AyMcFnX55GD5ulA85yOhMvfilZ/view?usp=sharing"
CPV.0075,07/01/2022,"Trata da Aprovação e designação dos membros do Projeto Institucional ""Curadoria e produção de materiais didáticos para o Curso Superior de Tecnologia (CST) em Processos Gerenciais - EaD"", para o segundo semestre letivo de 2022 do IFSP Câmpus Capivari.",P,T,extinta,31/12/2022,Ana Karina Cancian Baroni; Érica Maio Taveira Grande; Fernando Cesar Russo Gomes; Hugo Antonio Lima de Souza;Ione Arsenio da Silva;Ivonete Fernandes de Souza;Maiara Thais Tolfo Gabbi;Maria Amélia Ferracciú Pagotto;Rafael Fernando Diorio;Valdir Antonio Vitorino Filho,,"https://drive.google.com/file/d/1CXdcnU6y5iOyJhch7uLyzMWZqRwBWvPK/view?usp=sharing"
CPV.0076,07/01/2022,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico (CEIC) do Curso Técnico em Informática Integrado ao Ensino Médio do IFSP - Câmpus Capivari.,C,P,Revogada pela Portaria 86/2022,03 anos,Everton Pereira Barbosa; Alexandre Camargo Maia; André Valente de Barros Barreto; Beatriz Simonaio Birelli Falco; Camila Centurion SIlva; Edivaldo Serafim; Francisco Marcio Barbosa Teixeira; Gianna Andréia Ferreira Gobbi Spadote; Gustavo Bapstistella Leite da Silva; Karlan Ricomini Alves; Luciana Lima Batista; Maria Amélia Ferracciú Pagotto; Maria Elisa de Castro Almeida; Pedro William Simões de Oliveira,Revoga 69/2022,"https://drive.google.com/file/d/1mvVnhJ_ZmQZwrv5rUscnwFoC97Inc7ce/view?usp=sharing"
CPV.0077,07/01/2022,"Trata da aprovação do Projeto Institucional de ""Projeto Institucional de Preparação e Curadoria de Materiais da Pós Graduação em Ensino de Línguas"" para o segundo semestre letivo de 2022 do IFSP CPV",P,T,revogada pela portaria 87/2022,31/12/2022,Fabiana Bigaton Tonin; Fernanda Tonelli; Tiago Pellim da Silva,,"https://drive.google.com/file/d/1BuvKIYKF4pkbbRh8XYiOqDnmK1B12yId/view?usp=sharing"
CPV.0078,07/01/2022,"Trata da aprovação do Projeto Institucional de "" API - Agente de Prospecção de Inovação do IFSP Capivari"" para o segundo semestre letivo de 2022 do IFSP CPV",P,T,extinta,31/12/2022,Fernando César Russo Gomes,,"https://drive.google.com/file/d/1ZDyV5NcmJurkHYTr_5b5wuIm4eXneuM0/view?usp=sharing"
CPV.0079,07/01/2022,"Trata da Aprovação e designação dos membros do Projeto Institucional ""Grupo de Estudos sobre Transformação de Práticas Pedagógicas"", para o segundo semestre letivo de 2022 do IFSP Câmpus Capivar",C,T,extinta,31/12/2022,Ana Carla Dantas Midões;Carlos Fernando Barboza da Silva;Cleidson Santiago de Oliveira;Francisco Márcio Barbosa Teixeira;Paloma Epprecht e Machado de Campos Chaves;Roberto Bineli Muterle,,"https://drive.google.com/file/d/1proCAE3S1Im9dY7q988pabWTGyE-kDBm/view?usp=sharing"
CPV.0080,07/04/2022,"Trata da Retificação da Portaria nº 72/2022- DRG/CPV/IFSP, de 28 de junho de 2022.",R,,extinta,,,Retifica 72/2022,"https://drive.google.com/file/d/1G7bmsz8Nci4LXEdvJsK_ndyejw4OUd6s/view?usp=sharing"
CPV.0081,07/04/2022,Trata  da  Designação  dos  membros  da  Comissão  de Matrícula  para  Auxílio  à Coordenadoria de Registros Acadêmicos do IFSP - Câmpus Capivari.,C,P,extinta,31/12/2022,Grazielle Cristine Elias; Aline Dantas Araújo;Arlete Teresinha Esteves Brandi;Carlos Roberto Paviotti;Grazielle Nayara Felício Silva;Ivana Lopes de Olivera Arruda ; Pedro Henrique Alcantara da Silva;Rúbia Dias Adão;Vinicius de Souza Lucas,Revoga 01/2022,"https://drive.google.com/file/d/195r9eg0r4T8fwWWyAdbY-5ca3C1G29PG/view?usp=sharing"
CPV.0082,07/05/2022,Trata da designação dos fiscais do contrato referente à dispensa de licitação 13.712/2022  atrelado ao contrato 04.712/2022 do IFSP - Câmpus Capivari.(COBRA),F,T,revogada pela portaria 84/2022,"até o vencimento do contrato e de sua garantia, quando houver.","Eduardo Camargo maia, Antonio Carlos da Silva Bonfim",,"https://drive.google.com/file/d/1qPMKV4fk7mvmq3xdvmg61w6GL_fm7QxM/view?usp=sharing"
CPV.0083,07/07/2022,Trata da designação dos fiscais do Contrato de Licitação 02.712/2022 referente ao Pregão 04.712/2022 da empresa BRIGHT TELECOM EIRELI do IFSP-Câmpus Capivari.,F,T,vigente,"até o vencimento do contrato e de sua garantia, quando houver.",José Renato Paviotti; Larissa carvalho Alves,,"https://drive.google.com/file/d/1Kj6TpmKqqDX7jUHDzOVrWpcFewYudy7J/view?usp=sharing"
CPV.0084,07/07/2022,Trata da designação dos fiscais do contrato referente à dispensa de licitação 13.712/2022 atrelado ao contrato 04.712/2022 do IFSP - Câmpus Capivari.(cobra),F,T,vigente,"até o vencimento do contrato e de sua garantia, quando houver.","Eduardo Camargo maia, Antonio Carlos da Silva Bonfim",Revoga 82/2022,"https://drive.google.com/file/d/1P6fsZl6_CMkonMO8fh2Yt4Th-_5sNlIU/view?usp=sharing"
CPV.0085,07/19/2022,Trata da designação dos fiscais do contrato 03.712/2022 do IFSP - Câmpus Capivari.(SELETTI),F,T,vigente,"até o vencimento do contrato e de sua garantia, quando houver.","Luciana Martins Gatti;  César Eduardo Armelin   ;  Eduardo Camargo Maia ,Michele Pereira de Faria, Ivana Lopes de Oliveira Arruda;Grazielle Nayara Felicio Silva",,"https://drive.google.com/file/d/1cChjx5ubGLDfRY9Y0b0q96XnyD-I5OFz/view?usp=sharing"
